tw04_function	tw04_address	size	tw2003_address
fn_800F9610	800F9610	214	8007F094
fn_800F986C	800F986C	1EC	8007F2F0
fn_800F9A58	800F9A58	58	8007F4DC
fn_800F9AB0	800F9AB0	84	8007F534
fn_800F9B34	800F9B34	C4	8007F5B8
fn_800F9C00	800F9C00	48	8007F684
fn_800FA118	800FA118	30	8007FB6C
fn_800FA4B8	800FA4B8	60	8007FE7C
fn_800FA570	800FA570	98	8007FF34
fn_800FA9E0	800FA9E0	90	800804B8
fn_800FCBDC	800FCBDC	5C	80082F68
fn_800FDC0C	800FDC0C	50	800840B4
fn_800FDF60	800FDF60	64	800843A8
GameModeStableford_SetupNextGolfer	800FE344	B8	800844E8
fn_800FEAFC	800FEAFC	17C	800BA548
fn_800FEFF8	800FEFF8	40	800BABF0
GameModeStroke_Init	800FF700	DC	8008440C
GameModeStroke_SetupNextGolfer	800FF7DC	B8	800844E8
GameModeStroke_HoleFinished	800FFCCC	88	80084AFC
fn_80100128	80100128	38	8008929C
fn_801002C0	801002C0	48	800893F4
fn_80100AF8	80100AF8	40	80089C8C
GameMode4_Init	80101FEC	D0	80068818
GameMode4_Shutdown	80102404	64	80068CF8
fn_801088C8	801088C8	3C	801014A0
fn_801089DC	801089DC	30	800CB748
fn_80114398	80114398	38	8002645C
CalcAllComplex1Stats	8011B00C	3C	80012CCC
CalcAllComplex2Stats	8011B100	3C	80012CCC
fn_8011EBF8	8011EBF8	34	8010B62C
VIWaitForRetrace	8012F314	54	8010E9C4
setFbbRegs	8012F368	2D4	8010EA18
VISetNextFrameBuffer	80130134	6C	8010F744
VISetBlack	801301A0	7C	8010F7B0
getCurrentFieldEvenOdd	8013021C	68	8010F82C
VIGetNextField	80130284	A8	8010F894
VIGetCurrentLine	8013032C	98	8010F93C
EXIClearInterrupts	80130B40	48	80110164
InitializeUART	80131D08	70	8011131C
WriteUARTN	80131D78	200	8011138C
SIIsChanBusy	80131F98	3C	801115AC
CompleteTransfer	80131FD4	2FC	801115E8
SIInterruptHandler	801322D0	344	801118E4
SIEnablePollingInterrupt	80132614	98	80111C28
SIRegisterPollingHandler	801326AC	CC	80111CC0
SIUnregisterPollingHandler	80132778	F4	80111D8C
__SITransfer	80132920	20C	80111F24
SIGetStatus	80132B2C	7C	80112130
SISetXY	80132BCC	6C	801121D0
SIEnablePolling	80132C38	9C	8011223C
SIDisablePolling	80132CD4	6C	801122D8
SIGetResponseRaw	80132D40	D4	80112344
SIGetResponse	80132E14	C4	80112418
AlarmHandler	80132ED8	8C	801124DC
SITransfer	80132F64	16C	80112568
GetTypeCallback	801330D0	298	801126D4
SIGetType	80133368	1C4	8011296C
SIGetTypeAsync	8013352C	13C	80112B30
SIDecodeType	80133668	14C	80112C6C
SISetSamplingRate	801337D8	E4	80112DDC
ARStartDMA	8013395C	F0	80112F60
__ARHandler	80133B20	78	8011311C
__ARQServiceQueueLo	8013538C	100	80113AA8
__ARQInterruptServiceRoutine	80135490	CC	80113BAC
ARQPostRequest	801355CC	15C	80113CE0
__AXServiceCallbackStack	80135864	74	80113F98
__AXAllocInit	801358D8	B4	8011400C
__AXRemoveFromStack	801359D8	94	8011410C
AXAcquireVoice	80135A6C	174	801141A0
__AXAuxInit	80135BE0	E4	80114314
__AXProcessAux	80135E1C	23C	80114550
__AXGetCommandListAddress	8013606C	3C	801147A0
__AXNextFrame	801360A8	6B0	801147DC
__AXOutNewFrame	80136790	188	80114EC4
__AXOutAiCallback	80136918	68	8011504C
__AXDSPResumeCallback	8013698C	58	801150C0
__AXOutInitDSP	801369F0	C4	80115124
__AXOutInit	80136AB4	340	801151E8
__AXPrintStudio	80136E08	3F8	8011553C
__AXDepopVoice	8013722C	94	80115960
__AXServiceVPB	801372C8	6FC	801159FC
__AXSyncPBs	801379C4	268	801160F8
__AXSetPBDefault	80137C38	3C	8011636C
__AXVPBInit	80137C74	1FC	801163A8
AXSetVoiceSrcType	80137E70	C4	801165A4
AXSetVoiceState	80137F34	5C	80116668
AXSetVoiceType	80137F90	4C	801166C4
AXSetVoiceAdpcm	80137FDC	A4	80116710
AXSetVoiceSrcRatio	80138080	98	801167B4
AXSetVoiceAdpcmLoop	80138118	6C	8011684C
__AXGetCurrentProfile	80138184	48	801168B8
ReverbHICreate	801381CC	4EC	80116900
DoCrossTalk	801386B8	190	80116DEC
HandleReverb	80138848	50C	80116F7C
AXFXReverbHiInit	80138D54	70	80117488
AXFXReverbHiCallback	80138DC4	104	801174F8
AXFXDelayCallback	80138EC8	1D0	801175FC
AXFXDelaySettings	80139098	204	801177CC
AXFXDelayInit	8013929C	48	801179D0
AXFXDelayShutdown	801392E4	90	80117A18
__DBExceptionDestinationAux	801394E8	48	8011E388
DSPAddTask	801396C4	70	8011E558
DSPAssertTask	80139734	C8	8011E5C8
__DSPHandler	8013984C	424	8011E6E0
__DSP_exec_task	80139C70	1A0	8011EB04
__DSP_boot_task	80139E10	18C	8011ECA4
__DSP_insert_task	80139F9C	A0	8011EE30
__DSP_remove_task	8013A03C	94	8011EED0
__DVDInitWA	8013A0D0	40	8011EF64
AlarmHandler	8013A3F0	84	8011F298
AlarmHandlerForTimeout	8013A474	70	8011F31C
Read	8013A4E4	110	8011F38C
SeekTwiceBeforeRead	8013A5F4	80	8011F49C
DVDLowRead	8013A674	298	8011F51C
DVDLowSeek	8013A90C	94	8011F7B4
DVDLowReadDiskID	8013A9CC	A4	8011F874
DVDLowInquiry	8013AB88	9C	8011FA30
DVDLowAudioStream	8013AC24	98	8011FACC
DVDLowRequestAudioStatus	8013ACBC	8C	8011FB64
DVDLowAudioBufferConfig	8013AD48	9C	8011FBF0
DVDLowReset	8013ADE4	BC	8011FC8C
__DVDLowSetWAType	8013AECC	44	8011FD74
__DVDFSInit	8013AF10	38	8011FDB8
DVDConvertPathToEntrynum	8013AF48	2F4	8011FDF0
DVDFastOpen	8013B23C	74	801200E4
DVDReadAsyncPrio	8013B2D4	C0	8012017C
cbForReadAsync	8013B394	30	8012023C
CategorizeError	8013B6BC	B4	801205A8
cbForStateGettingError	8013B770	294	8012065C
cbForUnrecoveredError	8013BA04	68	801208F0
cbForUnrecoveredErrorRetry	8013BA6C	98	80120958
cbForStateGoToRetry	8013BB2C	158	80120A18
stateCheckID3	8013BD64	34	80120C54
stateCheckID2a	8013BD98	34	80120C54
stateCheckID2	8013BE40	38	80120C88
cbForStateCheckID1	8013BE78	114	80120CC0
cbForStateCheckID3	8013C070	FC	80120E78
AlarmHandler	8013C16C	44	80120F74
stateCoverClosed	8013C1B0	CC	80120FB8
stateCoverClosed_CMD	8013C27C	30	80121084
cbForStateCoverClosed	8013C2AC	70	801210B4
cbForStateMotorStopped	8013C344	E4	8012114C
DVDReadAbsAsyncPrio	8013D05C	DC	80121D0C
DVDReadAbsAsyncForBS	8013D138	D0	80121DE8
DVDReadDiskID	8013D208	D4	80121EB8
DVDInquiryAsync	8013D3EC	D0	80121F8C
DVDReset	8013D4BC	44	8012205C
DVDGetDriveStatus	8013D54C	AC	801220A0
DVDCancelAsync	8013D608	270	8012215C
DVDCancel	8013D878	AC	801223CC
DVDCheckDisk	8013DAB4	E4	801224A4
__DVDPrepareResetAsync	8013DB98	11C	80122588
__DVDClearWaitingQueue	8013DCB4	38	801226A4
__DVDPushWaitingQueue	8013DCEC	68	801226DC
__DVDPopWaitingQueue	8013DD54	A0	80122744
__DVDCheckWaitingQueue	8013DDF4	58	801227E4
__DVDDequeueWaitingQueue	8013DE4C	60	8012283C
ErrorCode2Num	8013DEAC	11C	8012289C
__DVDStoreErrorCode	8013DFC8	7C	801229B8
cb	8013E16C	D8	80122A34
__fstLoad	8013E244	168	80122B0C
GXInitFifoBase	8013F6B0	6C	80123EA0
GXInitFifoPtrs	8013F71C	70	80123F0C
__GXSaveCPUFifoAux	8013FA40	DC	80124230
GXGetFifoPtrs	8013FC2C	98	8012430C
__GXFifoInit	8013FDEC	4C	801244E4
GXResetWriteGatherPipe	80141170	34	80125660
GXDrawDone	8014123C	80	801258BC
GXPokeBlendMode	80141324	88	801259A4
GXTokenInterruptHandler	80141420	88	80125AA0
GXFinishInterruptHandler	801414A8	84	80125B28
__GXPEInit	8014152C	80	80125BAC
GXAdjustForOverscan	8014195C	120	8012600C
GXGetTexBufferSize	801427D0	15C	80127240
__GetImageTileCount	8014292C	C8	8012739C
GXInitTexObj	801429F4	274	80127464
GXInitTexObjCI	80142C68	48	801276D8
GXInitTexObjLOD	80142CB0	194	80127720
GXInitTlutObj	80143038	48	80127AD0
GXInitTexCacheRegion	8014311C	120	80127BB4
GXInitTlutRegion	8014323C	48	80127CD4
GXInvalidateTexAll	80143284	48	80127D1C
__GXSetTmemConfig	80143528	240	80127FD4
GXSetTevDirect	801439A8	48	801284B0
__MIXSetPan	80145998	BC	8012A9A0
MIXInit	80145A54	C8	8012AA5C
MIXInitChannel	80145B24	E74	8012AB2C
MIXUnMute	80146AE8	30	8012BAF0
MIXUpdateSettings	80146B18	107C	8012BB20
PSMTXInvXpose	80147C8C	C8	8012CBC8
C_MTXOrtho	80147DB0	98	8012CC90
ClearArena	80147E70	128	8012CD50
InquiryCallback	80147F98	3C	8012CE78
OSExceptionInit	8014834C	280	8012D26C
OSExceptionVector	80148624	9C	8012D544
OSDefaultExceptionHandler	801486C0	58	8012D5E0
__OSPSInit	80148718	38	8012D638
OSInitAlarm	80148790	4C	8012D684
InsertAlarm	801487EC	250	8012D6DC
OSSetAlarm	80148A3C	68	8012D92C
OSCancelAlarm	80148AA4	11C	8012D994
DecrementerExceptionCallback	80148BC0	230	8012DAB0
DLInsert	80148E40	AC	8012DD30
OSAllocFromHeap	80148EEC	FC	8012DDDC
OSFreeToHeap	80148FE8	7C	8012DED8
OSInitAlloc	80149074	70	8012DF64
OSCreateHeap	801490E4	6C	8012DFD4
__OSInitAudioSystem	80149170	1BC	8012E060
__OSStopAudioSystem	8014932C	D8	8012E21C
L2GlobalInvalidate	80149550	98	8012E454
DMAErrorHandler	801495E8	160	8012E4EC
__OSCacheInit	80149748	F4	8012E64C
__OSLoadFPUContext	8014983C	124	8012E740
__OSSaveFPUContext	80149960	128	8012E864
OSSetCurrentContext	80149A90	5C	8012E98C
OSSaveContext	80149AF8	80	8012E9F4
OSInitContext	80149C7C	BC	8012EB78
OSDumpContext	80149D38	2A8	8012EC34
OSSwitchFPUContext	80149FE0	84	8012EEDC
__OSContextInit	8014A064	48	8012EF60
OSReport	8014A0AC	80	8012EFA8
OSPanic	8014A12C	12C	8012F028
OSGetFontEncode	8014A758	58	8012F370
__OSInterruptInit	8014A82C	74	8012F444
SetInterruptMask	8014A8A0	2D8	8012F4B8
__OSMaskInterrupts	8014AB78	88	8012F790
__OSUnmaskInterrupts	8014AC00	88	8012F818
__OSDispatchInterrupt	8014AC88	344	8012F8A0
OnReset	8014B034	3C	8012FC4C
MEMIntrruptHandler	8014B070	6C	8012FC88
__OSInitMemoryProtection	8014B1F4	120	8012FE0C
OSInitMutex	8014B314	38	8012FF2C
OSLockMutex	8014B34C	DC	8012FF64
OSUnlockMutex	8014B428	C8	80130040
__OSUnlockAllMutex	8014B4F0	70	80130108
__OSCheckMutex	8014B560	100	80130178
__OSCheckDeadLock	8014B660	38	80130278
__OSCheckMutexes	8014B698	74	801302B0
OSRegisterResetFunction	8014B8F0	84	80130530
Reset	8014B974	70	801305B4
__OSDoHotReset	8014B9E4	48	80130624
OSResetSystem	8014BA2C	278	8013066C
OSGetResetCode	8014BCA4	30	801308E4
__OSResetSWInterruptHandler	8014BCD4	F4	80130914
OSGetResetButtonState	8014BDC8	298	80130A08
WriteSramCallback	8014C060	60	80130CA0
WriteSram	8014C0C0	118	80130D00
__OSInitSram	8014C1D8	134	80130E18
__OSLockSram	8014C30C	5C	80130F4C
__OSLockSramEx	8014C368	5C	80130FA8
UnlockSram	8014C3C4	308	80131004
OSGetSoundMode	8014C724	80	80131364
OSGetWirelessID	8014C7A4	84	801313E4
OSSetWirelessID	8014C828	AC	80131468
OSInitSemaphore	8014C8D4	58	80131514
OSWaitSemaphore	8014C92C	70	8013156C
OSSignalSemaphore	8014C99C	60	801315DC
__OSInitSystemCall	8014CA1C	64	8013165C
UnsetRun	8014CC78	68	80131884
__OSGetEffectivePriority	8014CCE0	3C	801318EC
SetEffectivePriority	8014CD1C	1C0	80131928
__OSPromoteThread	8014CEDC	50	80131AE8
__OSReschedule	8014D154	30	80131D38
OSExitThread	8014D36C	E4	80131E88
OSCancelThread	8014D450	1BC	80131F6C
OSResumeThread	8014D60C	288	80132128
OSSuspendThread	8014D894	170	801323B0
OSSleepThread	8014DA04	EC	80132520
OSWakeupThread	8014DAF0	104	8013260C
CheckThreadQueue	8014DBF4	9C	80132710
OSCheckActiveThreads	8014DC90	750	801327AC
__OSGetSystemTime	8014E4AC	64	80132F1C
GetDates	8014E510	19C	80132F80
OSTicksToCalendarTime	8014E6AC	204	8013311C
__init_cpp	8014E8D0	54	80133340
UpdateOrigin	8014EB88	1A4	801333B4
PADOriginCallback	8014ED2C	C4	80133558
PADOriginUpdateCallback	8014EDF0	C0	8013361C
PADProbeCallback	8014EEB0	D8	801336DC
PADTypeAndStatusCallback	8014EF88	32C	801337B4
PADReceiveCheckCallback	8014F2B4	134	80133AE0
PADReset	8014F3E8	100	80133C14
PADRead	8014F804	3AC	80133F24
PADControlMotor	8014FBB0	A4	801342D0
PADSetSpec	8014FC54	60	80134374
SPEC0_MakeStatus	8014FCB4	174	801343D4
SPEC1_MakeStatus	8014FE28	174	80134548
SPEC2_MakeStatus	8014FF9C	3F8	801346BC
OnReset	80150394	194	80134AB4
SamplingHandler	80150528	60	80134C48
PADSetSamplingCallback	80150588	54	80134CA8
__PADDisableRecalibration	801505DC	7C	80134CFC
AIInitDMA	8015069C	88	80134DBC
AISetStreamPlayState	8015073C	D8	80134E5C
AISetDSPSampleRate	80150824	E0	80134F44
__AI_set_stream_sample_rate	80150918	D4	80135038
__AISHandler	80150BC0	7C	801352E4
__AICallbackStackSwitch	80150CE8	58	801353F0
__AI_SRC_INIT	80150D40	1E4	80135448
DBWrite	80150F2C	260	80135634
DBRead	8015118C	8C	80135894
DBQueryData	80151218	9C	80135920
DBInitInterrupts	801512B4	54	801359BC
DBInitComm	80151308	78	80135A10
DBGHandler	80151380	40	80135A88
MWCallback	801513C0	3C	80135AC8
DBGWrite	801514A8	DC	80135BB0
DBGRead	80151584	DC	80135C8C
DBGEXIImm	8015170C	298	80135E14
__destroy_global_chain	80151A6C	48	80136198
__cvt_fp2unsigned	80151AB4	5C	801361E0
__save_fpr	80151B10	4C	8013623C
__restore_fpr	80151B5C	4C	80136288
__div2u	80151BA8	EC	801362D4
__div2i	80151C94	138	801363C0
__mod2u	80151DCC	E4	801364F8
__mod2i	80151EB0	10C	801365DC
__cvt_dbl_usll	8015202C	CC	801367F8
__pool_free	80152310	58	80136A90
deallocate_from_fixed_pools	80152368	158	80136AE8
deallocate_from_var_pools	801524C0	294	80136C40
__flush_all	80152754	70	80136ED4
__num2dec	801538EC	1A4	80138018
__equals_dec	80154340	10C	80138A80
__flush_buffer	80155E48	C4	8013A564
__prep_buffer	80155F0C	34	8013A628
__fwrite	80155F88	30C	8013A680
fflush	80156310	138	8013A9AC
fclose	80156448	1BC	8013AAE4
_fseek	80156670	23C	8013ACC0
mbtowc	80156A6C	120	8013B088
is_utf8_complete	80156B8C	EC	8013B1A8
memmove	80156D1C	CC	8013B338
sprintf	801570C8	E0	8013B6E8
vsprintf	8015727C	78	8013B7C8
__StringWrite	80157474	6C	8013B988
__FileWrite	801574E0	58	8013B9F4
qsort	8015929C	16C	8013D714
sscanf	80159408	C4	8013D880
__StringRead	801594CC	90	8013D944
strtok	8015A4B8	13C	8013E8D4
strchr	8015A5F4	30	8013EA10
strcmp	8015A664	128	8013EA80
strncpy	8015A7B8	44	8013EBD4
strcpy	8015A7FC	B8	8013EC18
__ieee754_log	8015CDC0	27C	80140EDC
__ieee754_pow	8015D03C	8B4	80141158
__kernel_cos	8015DC90	F4	80141DB0
__kernel_sin	8015EBD8	A0	80142D00
__kernel_tan	8015EC78	214	80142DA0
atan	8015EE8C	218	80142FB4
cos	8015F0CC	D4	80143338
floor	8015F1A0	148	8014340C
frexp	8015F2E8	8C	80143554
ldexp	8015F374	1C4	801435E0
modf	8015F538	FC	801437A4
sin	8015F634	D8	80143A24
tan	8015F70C	78	80143AFC
TRKPostEvent	8015FA04	E0	80143D6C
TRKGetNextEvent	8015FAE4	B4	80143E4C
TRKInitializeEventQueue	8015FB98	58	80143F00
TRKReadBuffer_ui32	8015FDCC	F0	801442B4
TRKReadBuffer_ui8	8015FEBC	98	801443A4
TRKReadBuffer1_ui64	8015FF54	E8	8014443C
TRKAppendBuffer_ui8	80160138	68	801447CC
TRKReadBuffer	8016029C	8C	80144974
TRKAppendBuffer	80160328	A4	80144A00
TRKSetBufferPosition	801603CC	30	80144AA4
TRKReleaseBuffer	8016043C	64	80144B14
TRKGetFreeBuffer	801604CC	C8	80144BA4
TRKInitializeMessageBuffers	80160594	74	80144C6C
TRKProcessInput	801606D4	50	80144D0C
usr_puts_serial	801608C4	88	801450B0
TRK_flush_cache	80162278	38	801483E4
TRK_ppc_memcpy	80162378	3C	801484E8
TRKInterruptHandler	801623B4	194	80148524
TRKExceptionHandler	80162548	9C	801486B8
TRKSwapAndGo	801625E4	C4	80148754
TRKTargetAccessExtended2	80162E04	438	80149320
TRKTargetAccessExtended1	8016323C	170	80149758
TRKTargetAccessDefault	80163878	F4	80149A04
TRKTargetAccessMemory	801639B8	14C	80149AF8
TRKSaveExtended1Block	80163DD0	1B8	80149ED0
TRKRestoreExtended1Block	80163F88	1B8	8014A088
TRKInitializeTarget	801641D8	4C	80149E24
TRKLoadContext	80164420	88	8014A28C
TRKEXICallBack	80164940	38	8014A700
TRKTargetContinue	80164978	34	8014A738
fn_80165ACC	80165ACC	C4	800CD174
fn_80165C74	80165C74	B8	800CD8A0
fn_8016604C	8016604C	4C	800CD648
fn_80168644	80168644	B4	800D1F84
fn_80168B80	80168B80	A4	800D1B70
fn_80168C24	80168C24	B4	800D1ABC
fn_80168EE8	80168EE8	74	800D1850
fn_80168F5C	80168F5C	6C	800D17E4
fn_80168FC8	80168FC8	340	800D14A4
fn_80169308	80169308	198	800D130C
fn_801694A0	801694A0	80	800D128C
fn_80169520	80169520	70	800D121C
fn_80169D90	80169D90	34	800D0B84
fn_80169DC4	80169DC4	26C	800D0918
fn_8016A030	8016A030	2A4	800D0674
fn_8016A2D4	8016A2D4	23C	800D03A8
fn_8016AD54	8016AD54	198	800CFC98
fn_8016B0F8	8016B0F8	90	800D3308
fn_8016B808	8016B808	3C	800D2E9C
fn_8016BEDC	8016BEDC	280	800D2720
fn_8016C1A4	8016C1A4	CC	800D24EC
fn_8016C270	8016C270	354	800D2198
fn_8016C5C4	8016C5C4	50	800D2148
fn_8016C614	8016C614	60	800D20E8
fn_8016C674	8016C674	50	800D2098
fn_8016C6C4	8016C6C4	54	800D2044
__CARDSyncCallback	80176A3C	34	80117BB0
__CARDExtHandler	80176A70	D8	80117BE4
__CARDExiHandler	80176B48	118	80117CBC
__CARDTxHandler	80176C60	A8	80117DD4
__CARDUnlockedHandler	80176D08	84	80117E7C
__CARDEnableInterrupt	80176D8C	C0	80117F00
__CARDReadStatus	80176E4C	F0	80117FC0
__CARDClearStatus	80176F3C	AC	801180B0
TimeoutHandler	80176FE8	A4	8011815C
Retry	8017708C	22C	80118200
UnlockedCallback	801772B8	110	8011842C
__CARDStart	801773C8	1B4	8011853C
__CARDReadSegment	8017757C	134	801186F0
__CARDWritePage	801776B0	11C	80118824
__CARDEraseSector	801777CC	E0	80118940
__CARDSetDiskID	80177960	38	80118ABC
__CARDGetControlBlock	80177998	B8	80118AF4
__CARDPutControlBlock	80177A50	64	80118BAC
CARDGetResultCode	80177AB4	30	80118C10
CARDFreeBlocks	80177AE4	150	80118C40
CARDGetEncoding	80177C34	88	80118D90
__CARDSync	80177CBC	98	80118E18
OnReset	80177D54	50	80118EB0
bitrev	80177DA4	16C	80118F00
ReadArrayUnlock	80177F10	144	8011906C
DummyLen	80178054	C4	801191B0
__CARDUnlock	80178118	B58	80119274
InitCallback	80178C70	70	80119DCC
DoneCallback	80178CE0	324	80119E3C
__CARDRead	801790E0	64	8011A23C
__CARDWrite	80179220	64	8011A37C
WriteCallback	801792A4	D4	8011A400
__CARDAllocBlock	80179440	118	8011A59C
__CARDFreeBlock	80179558	9C	8011A6B4
__CARDUpdateFatBlock	801795F4	AC	8011A750
WriteCallback	801796A8	D0	8011A804
__CARDUpdateDir	80179840	C4	8011A99C
__CARDCheckSum	80179904	1B0	8011AA60
VerifyDir	80179D38	240	8011AE94
VerifyFAT	80179F78	284	8011B0D4
__CARDVerify	8017A1FC	8C	8011B358
CARDCheckExAsync	8017A288	590	8011B3E4
IsCard	8017A840	CC	8011B99C
CARDProbeEx	8017A90C	17C	8011BA68
DoMount	8017AA88	410	8011BBE4
CARDMountAsync	8017AFD0	1A0	8011C0FC
DoUnmount	8017B170	9C	8011C29C
CARDUnmount	8017B20C	AC	8011C338
FormatCallback	8017B2B8	144	8011C3E4
__CARDFormatRegionAsync	8017B3FC	658	8011C528
CARDFormatAsync	8017BA54	48	8011CB80
__CARDCompareFileName	8017BA9C	68	8011CBC8
CARDClose	8017C130	54	8011CFC0
CreateCallbackFat	8017C18C	130	8011D01C
CARDCreateAsync	8017C2BC	220	8011D14C
__CARDSeek	8017C4DC	1B8	8011D36C
ReadCallback	8017C694	130	8011D524
WriteCallback	8017C950	170	8011D79C
EraseCallback	8017CAC0	B0	8011D90C
CARDWriteAsync	8017CB70	114	8011D9BC
DeleteCallback	8017CC84	A4	8011DAD0
CARDDeleteAsync	8017CE54	110	8011DB74
UpdateIconOffsets	8017CF64	1F8	8011DC84
CARDSetStatusAsync	8017D270	174	8011DFA8
CARDSetStatus	8017D3E4	48	8011E11C
CARDRenameAsync	8017D42C	1FC	8011E164
CARDSetAttributes	8017DA8C	48	8011E11C
